content,Label
Baguussss,positif
kenapa g terbuka wa saya padahal saya udh masukan verifikasi dua langkah,netral
jelek,negatif
Gak enak wa anj,negatif
"Gara gara Ni Apk,Rank Mobile Legend Gw Turun Ke Epig Anjg🗿",negatif
waww🤩😍!!!,positif
GK bisa nelpon klo GK ada kuota,negatif
Tidak perlu kata kata,negatif
Mantap,positif
Kenapa versi yg ini kualitasnya masih bagus yg versi sebelumnya padahal saya menggunakan sim card yg sama untuk datanya... Mohon bantuannya untuk diperbaiki terima kasih,negatif
Bagus,negatif
Baik,positif
ga ada masalah sih cuma gw gabut aja jadi gw kasih bintang 1 🗿,netral
Aktip kan whatsapp,netral
Whatsapp nya suka erorr,negatif
"Apli nya bagus, beri saya uang 5jt akan saya kasih bintang 5",positif
TOLONG BAGI PIHAK WA TOLONG PERBAIKI SAYA PAS BUAT SW SW SAYA TAMPAK BURAM TOLONG PERBAIKI,negatif
Gabut,negatif
B7 jgn pulang ubah,netral
Apk gk guna,negatif
☺🙏🏻,negatif
Jelek,negatif
Sangat baik,positif
Jelek,negatif
Buruk,negatif
Aplikasi kon apa gak terima sin by one dek,negatif
Tue,negatif
"Kenapa si daftar aja ribet banget susah ga ngirim ngirim kode , tolol ANJ susah udah 10 jam. Nunggu kode",negatif
"Setelah dipulihkan, harus pakai official WA?tapi tetep ga bisa masuk",positif
Nggak guna,negatif
🗿🗿🗿🗿🗿🗿🗿🗿🗿🗿,negatif
Mantap,positif
B aja,negatif
Iya,positif
Yhh NIH WHATSAPP EMG KG DANTA. Masa NO GW KEKENON MULU YHH MANA KEAMANAN MANA F,negatif
Sip aplikasi ny,positif
Verifikasi,positif
W🤲📢😴,positif
Kerja harian,positif
Piou,positif
Wachap tdak terdaftar,positif
"Saya punya saran, Arsipnya akan lebih baik memiliki pengamanan seperti sandi agar yg terprivasi tidak terbuka/dilihat oleh orang lain. Terimakasih",positif
Sangat membantu,positif
Mantaaap,negatif
Bagus,negatif
mantap,positif
kurang suka dengan tampilan yg sekarang notif chat status dibawah. gimana cara biar diatas aja,positif
mudah untuk komunikasi,positif
Ok.,positif
Uladan,positif
Saya baru coba klo benar bagus Pasti akan saya tambah bintang,positif
Bagus,positif
Bos wa Ap saya ilang,positif
bagus sekali,positif
Apk rusak,negatif
Bagus,positif
Saya senang dan saya bahagia menggunakan whatsapp ini,positif
Sangat bagus bisa membantu,positif
Pas diupdate kok fitur kunci chat nya nggak berfungsi Tolong diperbaiki lagi🙏🙏,negatif
Iii,positif
"lebih suka model yang lama,dripada yang sekarang lebih ribett",negatif
Manfaatny mantap,positif
Terkadang muncul kata2 menghubungkan ulang trus suara lawan bicara kadang tidak jelas kami sebagai pelanggan dari INDOSAT mohon untuk secepatnya di benahi mhn maaf apabila ad kata2 yg kurang berkenan di hati semua operator trim's,positif
Sangat bagus,positif
"Whatsapp scam using ApK sending , please diallowed to send APK",negatif
🤙,netral
"maaf yah ini kenapa saya mau login tetep ga bisa, katanya harus wa official padahal aku download ya ini. wa mana lagi coba? trus nunggu kode verifikasi jg minimal 2 jam kalo SMS 6 jam, katanya ada masalah sama play store pdhl jg udh update semua gimana ya tolong nih gabisa login dari kemarin",negatif
Kurang baik kadang lemot,negatif
Sangattt sangggat sangatt awa gtw ngejelasinnya,positif
Sangat membantu,positif
Klw mau pos status gagal trus,negatif
Sangat memudahkan berkomunikasi .. Saran saya tampilan depan awal buka whatsapp nya bisa diganti temanya jadi tidak merasa bosan,positif
Alhamdulilah selalu baik what ap nya..,positif
Bagus,positif
Baik,positif
Goodd...,positif
Oke,positif
Ku kasih bintang 3 karena belum Tau Perbarui seperti apa sekarang kualitasnya terimakasih banyak WhatsApp,positif
Bagus bangettt,positif
Sangat memuaskan,positif
Sering minta di up date,positif
Luarbiasa,positif
Mantap👍,positif
Tolong dong di perbaiki gimana si makin ke sni mkin sulit aja untuk di gunain hapus aja kalau begitu!!!!!,negatif
Aplikasi ini sangat bagus untuk saya,positif
Biarkan bintang bicara,netral
Keren,positif
Terima kasih Google,negatif
Sulit memperbaharui watsApp,positif
Luar bisa,positif
Sangat bagus,negatif
Bagus,positif
mantabzzz,positif
Minta di update ko muter2,negatif
Bismillaah,positif
"Bagus sih aplikasi nya buat vcall jarak jauh,cuman sering terjadi eror.padahal selalu di update",negatif
Sangat membantu,positif
Aku kasih bintan 4 ajah dulu soalnya lagi elor,positif
Bagus,negatif
Terus upgrade yah bestie,netral
Layar,positif
Bagus,positif
Lumayan bagus,positif
Aplikasi ini sangat bagus👍👍👍👍👍👍👍👍💕👍👍👍👍👍👍👍💕👍💕👍💕👍💕👍💕👍💕👍💕👍💕👍💕👍,positif
Good job,positif
"Tolong Bpk atau ibu"" semoga ujian ini benar, & Aku dapat Rp 50.000.000, beneran. Allahu maqfirlli ilaimiqtariq. Amiin...🤲🤲🤲🙏🏻🙏🏻🙏🏻🤝🤝🤝👍👍👍",positif
"Kenapa whatsapp yg versi sekarang harus simpen foto manual? galeri atau foto² saya yang dari chat whatsapp itu hilang semua, saya kira cuma saya yg seperti ini, pas liat ulasan apl Wa di playstore ternyata banyak yg ngalamin fitur nya bikin PR.",negatif
Menyenangkan pake wa,positif
Kurang bagus,positif
Mantap,positif
Ok,netral
bagus dan praktis,positif
Bagus sekali,positif
Sangat baik,positif
Di bidang. Bangunan,positif
Kasi bintang 5 soalnya semua org butuh whatsapp,positif
KmIn gggg.g,negatif
Good,positif
Bikin ribet. Lama lagi nunggunya,negatif
Ful,positif
sangat bermanfaat,positif
Ok good aplication bro,positif
Di apdet 5 juni masak sekarang sudah pembaharuan apdet lagi Klu tidak faham sy jadul data yg di dalam wa nan hilang semua,negatif
Menyenangkan,positif
Move On,positif
Bagus,positif
Mantap 👍🏻,positif
Bagus,netral
